"PID-- Participant ID, 4 lines per participants","Condition-- 1= Unfamiliar country eats familiar food, 2= unfamiliar country eats unfamiliar food, ","Time-- 0= pre-test, 1= post-test",GroupCountryFam,Rating-- 1(Really don't like) to 4(Really like),"FoodFam-- Which type of food children saw them with, 0= unfamiliar, 1= familiar"
1,2,1,1,4,1
1,2,0,1,4,1
1,2,0,0,3,0
1,2,1,0,3,0
2,1,0,0,4,1
2,1,0,1,4,1
2,1,1,1,4,1
2,1,1,0,4,1
3,2,1,0,4,0
3,2,0,1,4,1
3,2,1,1,4,1
3,2,0,0,3,0
4,1,0,1,4,1
4,1,1,1,4,1
4,1,1,0,3,1
4,1,0,0,1,1
5,2,0,0,1,0
5,2,1,1,1,1
5,2,1,0,1,0
5,2,0,1,2,1
6,1,1,1,4,1
6,1,1,0,4,1
6,1,0,1,4,1
6,1,0,0,4,1
7,2,0,1,4,1
7,2,1,1,4,1
7,2,0,0,4,0
7,2,1,0,4,0
8,1,0,1,4,1
8,1,0,0,3,1
8,1,1,1,4,1
8,1,1,0,3,1
9,2,1,0,2,0
9,2,0,1,4,1
9,2,0,0,3,0
9,2,1,1,4,1
10,1,0,0,1,1
10,1,1,0,2,1
10,1,0,1,4,1
10,1,1,1,4,1
11,2,1,0,3,0
11,2,0,0,3,0
11,2,0,1,4,1
11,2,1,1,1,1
12,1,0,0,4,1
12,1,1,0,2,1
12,1,0,1,4,1
12,1,1,1,4,1
13,2,1,0,4,0
13,2,0,1,4,1
13,2,1,1,4,1
13,2,0,0,3,0
14,1,0,0,2,1
14,1,1,0,2,1
14,1,0,1,3,1
14,1,1,1,3,1
15,2,0,0,2,0
15,2,1,0,2,0
15,2,0,1,3,1
15,2,1,1,3,1
16,1,0,1,4,1
16,1,1,0,3,1
16,1,0,0,4,1
16,1,1,1,4,1
17,2,0,0,4,0
17,2,1,1,4,1
17,2,1,0,3,0
17,2,0,1,4,1
18,1,0,1,4,1
18,1,0,0,3,1
18,1,1,0,3,1
18,1,1,1,4,1
19,2,1,0,1,0
19,2,0,0,1,0
19,2,0,1,4,1
19,2,1,1,4,1
20,1,1,0,3,1
20,1,1,1,4,1
20,1,0,1,4,1
20,1,0,0,3,1
21,2,0,0,2,0
21,2,1,1,4,1
21,2,1,0,3,0
21,2,0,1,4,1
22,1,1,1,1,1
22,1,0,0,4,1
22,1,0,1,4,1
22,1,1,0,2,1
23,2,0,0,4,0
23,2,1,0,3,0
23,2,1,1,3,1
23,2,0,1,3,1
24,1,0,1,4,1
24,1,0,0,3,1
24,1,1,0,3,1
24,1,1,1,4,1
26,1,0,0,4,1
26,1,0,1,3,1
26,1,1,0,3,1
26,1,1,1,4,1
27,2,1,0,3,0
27,2,1,1,4,1
27,2,0,1,4,1
27,2,0,0,4,0
28,1,0,1,4,1
28,1,0,0,2,1
28,1,1,1,4,1
28,1,1,0,3,1
29,2,1,1,4,1
29,2,1,0,3,0
29,2,0,0,1,0
29,2,0,1,4,1
30,1,0,1,3,1
30,1,1,0,2,1
30,1,1,1,1,1
30,1,0,0,4,1
31,2,1,0,3,0
31,2,0,1,3,1
31,2,0,0,4,0
31,2,1,1,3,1
32,1,0,0,3,1
32,1,1,1,4,1
32,1,1,0,3,1
32,1,0,1,4,1
33,2,1,0,3,0
33,2,1,1,3,1
33,2,0,0,3,0
33,2,0,1,3,1
34,1,0,1,4,1
34,1,1,1,4,1
34,1,1,0,3,1
34,1,0,0,2,1
35,2,1,1,2,1
35,2,0,0,2,0
35,2,0,1,3,1
35,2,1,0,1,0
36,1,0,0,4,1
36,1,1,1,3,1
36,1,0,1,3,1
36,1,1,0,3,1
37,1,1,0,4,1
37,1,0,1,3,1
37,1,1,1,3,1
37,1,0,0,4,1
38,1,0,1,4,1
38,1,1,1,3,1
38,1,0,0,3,1
38,1,1,0,2,1
39,2,0,1,4,1
39,2,1,0,4,0
39,2,0,0,3,0
39,2,1,1,3,1
40,1,0,0,1,1
40,1,1,1,2,1
40,1,1,0,1,1
40,1,0,1,4,1
41,2,1,0,4,0
41,2,0,1,4,1
41,2,1,1,4,1
41,2,0,0,3,0
42,1,0,1,4,1
42,1,1,1,4,1
42,1,0,0,3,1
42,1,1,0,3,1
43,2,1,0,3,0
43,2,0,1,3,1
43,2,0,0,3,0
43,2,1,1,4,1
44,1,1,0,4,1
44,1,0,0,4,1
44,1,1,1,3,1
44,1,0,1,2,1
45,2,1,0,4,0
45,2,0,1,3,1
45,2,1,1,4,1
45,2,0,0,3,0
46,1,1,1,1,1
46,1,0,1,2,1
46,1,1,0,4,1
46,1,0,0,4,1
47,2,0,1,4,1
47,2,1,1,3,1
47,2,1,0,1,0
47,2,0,0,3,0
48,1,1,1,4,1
48,1,0,1,4,1
48,1,0,0,3,1
48,1,1,0,4,1
49,2,0,0,3,0
49,2,1,1,4,1
49,2,1,0,4,0
49,2,0,1,3,1
50,1,0,0,4,1
50,1,1,1,4,1
50,1,0,1,4,1
50,1,1,0,3,1
52,1,0,0,3,1
52,1,1,0,3,1
52,1,1,1,4,1
52,1,0,1,4,1
54,1,1,0,3,1
54,1,0,0,3,1
54,1,1,1,3,1
54,1,0,1,3,1
55,2,0,1,4,1
55,2,1,0,2,0
55,2,0,0,3,0
55,2,1,1,4,1
61,2,1,0,3,0
61,2,1,1,3,1
